id,shifting,unp,unp2,unp3,unp4,unp5,unp6,bot_detection,fullscreenenter,fullscreenexit,noise,interrupted,getup
323,-0.6487587800000001,0.5808757577304597,1.377410673517026,1.9634810972509495,-0.3542155429359143,1.2394450176637664,1.0720650900014113,1,1,0,0,0,0
324,0.11038135000000038,1.0965096024332006,-0.27566188458543395,1.80239413103908,0.950004620748313,1.4815832596448781,2.177703205674878,1,1,0,0,0,0
328,-0.2104575456666664,-0.5721721620861944,-1.797865384320136,-2.089558656251569,-0.7910763056913672,-0.6758552857684338,-0.752706599674499,1,1,0,0,0,0
329,-0.07764656522313333,1.0589743662696172,2.752897282426891,1.4604712378780633,-0.1815876381438335,1.8924429055518173,0.7959838815816092,1,1,0,0,0,0
330,1.222870032673,-0.6752989310267425,-2.3297533790359544,-1.7970729058927986,0.5813095159970103,-0.9978994045726118,-9.609813671473816e-4,1,1,0,0,0,0
331,0.09600820033333313,-0.07534398766896766,1.0322445012297699,0.9494775580158226,-1.2522269227893157,0.03662069475384433,0.6233250693626357,1,1,0,0,0,0
333,0.26147286666666636,-0.2909242562853762,0.09102625881737081,-0.38577942105724966,-2.040327439430376,-1.40843019070229,0.05580661551163822,1,1,0,2,0,0
334,0.13042302166666664,-0.30032709142813335,1.2686665147731049,-0.48083087423970705,-1.3266243327302465,1.712118386757584,0.0771286342429961,1,1,0,0,0,0
335,1.6538772307333334,-0.1690679214667588,0.16845411533739946,0.5092767304445716,-0.08543478544516103,-0.1817165180049771,-0.17970398071378282,1,0,0,0,0,0
336,-0.3456146326666669,0.08404758331323303,0.7172995458082604,1.2428781894701344,0.033484703422412054,-0.08629572429706389,0.5589435917570087,1,1,0,0,0,0
338,1.6981629435426666,-0.04721158664814148,0.24330968060743427,-1.5489734454940545,0.36128148985112357,-0.7453270261140955,0.02400582689093809,1,1,0,2,0,0
339,-0.14656476100000004,0.8621236635312778,0.6926527807075358,1.1491995731919213,0.0023937530399689155,0.04000731052626838,-0.507408375315847,1,1,0,1,0,0
341,-0.3018986463333333,-0.3940510252259244,-0.8480766410490181,-0.5969271821106442,0.13978983657257182,-0.10540991040465325,-0.5318284651449233,1,1,0,0,0,0
342,0.6112674266666667,0.5058813898107378,0.6070058756242943,-0.7765192208402804,1.5257574987264233,0.578591465798631,-0.3075125051044334,1,1,0,0,0,0
343,-0.6133675533333336,0.440289857033773,-0.7410816735971613,1.1630980739318746,-0.6139853982079535,0.7185178582981303,0.07277426346049304,1,1,0,0,0,0
344,-0.0284486026666666,0.17777151711102418,3.421766234610791,1.4863975571722068,0.37691313738202814,0.6556770505338805,0.25824463599187486,1,1,0,0,0,0
346,-0.32802600800000015,-0.3753214593478552,0.0847616613284255,-0.3636328595169654,-0.6674678434382585,-1.0036768705539407,0.6020772242497097,1,1,0,1,0,0
347,-1.539302751,-0.97527640270563,0.08755555099342605,-2.967769478145224,-2.1379154568860437,-0.5401648736497922,-1.0576673825038214,1,1,0,0,0,0
348,0.29556342733333296,-0.450315827267577,0.6392246935614526,0.1871574088534269,0.28820269623820394,-0.8636414192208905,-0.6409065354521033,1,1,0,0,0,0
349,-0.49630575166666646,-0.30032709142813335,0.2984261694812283,-0.309556581155055,0.15761002241908473,-1.3857690768869046,1.428004414275875,1,1,0,0,0,0
350,-0.2656771039999999,-0.8252876668661862,-2.366945876620907,-1.144383611533333,-1.939753897975996,-1.7258573325298707,-0.8030541095224066,1,1,0,0,0,0
352,0.7184249702616666,-0.8252876668661862,-0.3288739728327834,-1.5783771660304045,-2.078163709721671,-0.20502721512389765,-0.6234818301323709,0.8999999761581421,1,0,1,0,0
354,0.04747692000000025,-0.3753214593478552,-1.187120195196969,-1.8755526892045529,-0.8212433876130871,0.19475364508605064,-0.2985827707639503,1,1,0,0,0,0
356,0.1418450633333337,0.05591518229240667,-0.30642836384113453,0.28538576520435394,-0.707018646083768,0.14104354863666638,-0.3502646431249441,1,1,0,0,0,0
357,-0.03325435666666676,-0.9002820347859082,-0.10556640499419045,-0.7016014066131204,-0.052761843201842296,-0.7464299513118485,0.5676014602629144,1,1,0,0,0,0
358,-0.3627376820000001,-0.5253101951872988,-0.14319818161518927,1.6926202214390869,-0.0035394494969356316,-1.6233592569585147,-0.7907946502288046,1,1,0,0,1,0
359,0.6293976990000001,2.1745631543301327,3.0201977561686935,3.0716919418609763,2.710633893997626,1.5508950054664759,-0.2548908563123007,1,1,0,0,0,0
360,1.070414373603,1.790188479588766,0.7309732588496061,1.9914798747614113,2.8207758602812136,1.6955107429050296,3.965279674132207,1,1,0,0,0,0
361,0.9457932416,0.4590194229118424,-0.6240080470125929,1.0309441593710553,0.3757276565516966,-0.24386514312264318,1.474982021891377,0.8999999761581421,1,0,0,0,0
362,-0.32678613899999975,-0.4971777941664725,-1.8676267622941092,-0.24119042140144686,-0.9390378675903486,1.0518807351716646,-0.5389110801825654,1,1,0,1,0,0
363,-0.3159786296666667,0.20590391813185055,-0.8911734729906595,-1.2022456464478597,-0.24844093783148335,-1.213185793831975,-0.7016300972213553,0.8999999761581421,1,0,0,1,1
364,-0.169076982,1.5277462440734624,-0.1754879074456841,2.0101166730878304,1.7973577591403016,0.10809446559549496,0.8763554145557177,1,1,0,1,1,1
365,-0.5026539333333331,0.5246109556888071,0.6580400612957382,0.5689684363116959,0.33112024428141995,0.47964574227317547,3.3173097482466822,1,1,0,0,0,0
366,-0.20662314514036664,-0.24406228938648072,0.4906929749605396,-1.6143822411981494,0.5762236002727779,-1.8700947850288465,0.2020576497815716,0.8999999761581421,1,0,0,0,0
367,0.08418870066666662,-0.6752989310267425,-0.3115412910591144,0.5470549971326093,-0.9670189173445345,-1.847862582423517,-0.9658186864302808,1,1,0,0,0,0
369,0.28251891900000015,0.7121349276918342,1.919597550583826,1.6604076598594346,0.2898726320805385,1.8340417011306496,0.7044579938015273,0.8999999761581421,1,0,0,0,0
370,-0.33901634833333283,-0.1690679214667588,0.9297287453147536,1.4267697404215185,-0.043463301519707565,-0.847803570691342,-0.02943975405468812,1,1,0,1,0,0
371,0.44277806333333336,-0.4221834262467507,-1.740454114559447,0.4107373134988905,-0.5053613309113612,0.11179629228546367,-0.430846959924956,1,1,0,0,0,0
372,-0.18440132766666717,-0.97527640270563,-0.08363840101556808,-1.8322003492411365,0.722990380970479,-2.4225507781977176,-0.09052394026663314,1,1,0,1,0,0
373,0.43493710333333313,-0.9002820347859082,-0.4569562177035631,0.36660761373348105,-1.8935112742402669,-0.624102049781766,-0.3942662395604054,1,1,0,0,0,0
374,-0.10843872000000032,-0.97527640270563,-1.5295323086840331,0.21134560962128712,-1.1766387878395639,-2.86826153540108,-0.4337125790592241,1,1,0,0,0,0
375,-0.00468912069233329,0.8621236635312778,1.041343380652617,1.9684364688920852,-0.16791090475501813,-0.37858650725186116,-0.2529070574022072,1,1,0,2,0,0
376,-0.0627141448346667,0.6558701256501815,-0.11122578479318757,-0.01773450635119389,-0.11562274107765114,0.9105030163101301,1.0928573017236056,0.8999999761581421,1,0,1,0,0
377,0.2544467793333336,-0.5440397610653681,-1.628196386195715,-0.500692741826952,-2.007831594260074,-0.5756106351389552,-0.6580578815573309,1,1,0,0,0,0
378,0.36109966886666656,0.15904195123295486,-0.3255128294928795,0.3739801945526997,0.16782004513719628,-0.9290434152417584,1.006031824179036,1,1,0,0,0,0
